system:index,fdwb_nm,ggrphc_,mean,stdy_st,.geo
00000000000000000007,Chesapeake Bay,USA,-222.60990461590873,Cheseapeake Bay,"{""type"":""Polygon"",""coordinates"":[[[-76.13132030613852,37.53707585522087],[-76.1471688064523,37.53528402262714],[-76.1617536319061,37.53005140115821],[-76.17391236379416,37.5217951696527],[-76.18267682628395,37.51117339484554],[-76.18735025862175,37.49903237704625],[-76.18756249765919,37.48633903269141],[-76.18329886662325,37.47410377480751],[-76.174900651332,37.463300077592706],[-76.1630373419584,37.454787129425284],[-76.14865303373212,37.449241686674945],[-76.13289134796831,37.44710447626884],[-76.11700482684276,37.44854532868625],[-76.10225588108477,37.45344975012877],[-76.08981697333955,37.461427974614374],[-76.08067777425609,37.47184579454493],[-76.07556653104798,37.483874776061946],[-76.07489186138261,37.49655794519698],[-76.07870967880329,37.5088857963579],[-76.08671805262647,37.51987662509753],[-76.09828062644233,37.52865479851708],[-76.11247692387545,37.53452069372858],[-76.12817564713504,37.537006662977475],[-76.13132030613852,37.53707585522087]]]}"
00000000000000000003,Chilean Intertidal Curaumilla,Chile,-7416.875173370318,Intertidal study sites in Chile : Curaumilla,"{""type"":""Polygon"",""coordinates"":[[[-71.65564031497593,-32.984311842992135],[-71.67062300099117,-32.986101722015086],[-71.68441477014156,-32.99132909248867],[-71.69591897171557,-32.99957841440417],[-71.70422014854734,-33.010193777433045],[-71.7086568201764,-33.022330882208976],[-71.708874355932,-33.03502403333303],[-71.7048536617238,-33.047262877943005],[-71.69691325479751,-33.05807282247157],[-71.68568438819362,-33.06659272902872],[-71.67206105504349,-33.0721436699476],[-71.65712877279738,-33.07428320270547],[-71.64207783243985,-33.07284077219036],[-71.62810802547143,-33.0679313646065],[-71.61633259729011,-33.059946301756774],[-71.60768924266517,-33.049521925067765],[-71.602865350167,-33.03748871444922],[-71.60224348158773,-33.024804963678854],[-71.6058713642801,-33.01248035999051],[-71.61345864563326,-33.00149559450812],[-71.62440049517039,-32.99272440797608],[-71.6378260232278,-32.986864242770295],[-71.65266757743898,-32.98438095832577],[-71.65564031497593,-32.984311842992135]]]}"
00000000000000000004,Chilean Intertidal El Quisco,Chile,-7319.9638882311165,Intertidal study sites in Chile: El Quisco,"{""type"":""Polygon"",""coordinates"":[[[-71.69608882063174,-33.321277191398934],[-71.71112917906015,-33.32306705885662],[-71.72497405857312,-33.32829439823844],[-71.73652260062457,-33.33654367922627],[-71.74485582321822,-33.34715900425217],[-71.74930968317202,-33.35929608580514],[-71.74952815687517,-33.37198923573812],[-71.74549204565906,-33.384228101569605],[-71.73752106821235,-33.39503808311539],[-71.72624889746031,-33.40355803093061],[-71.7125729764872,-33.40910900446234],[-71.69758302724586,-33.411248550998124],[-71.68247395931219,-33.409806111120396],[-71.66845022037205,-33.40489667395927],[-71.65662936982298,-33.39691157055932],[-71.64795272428562,-33.38648715501323],[-71.64311031180213,-33.374453919361564],[-71.64248614445343,-33.361770165189846],[-71.64612810273621,-33.349445580784405],[-71.65374468716348,-33.33846085124551],[-71.66472871989221,-33.32968970610309],[-71.678205954857,-33.32382957482727],[-71.69310464097538,-33.321346306277285],[-71.69608882063174,-33.321277191398934]]]}"
00000000000000000005,Chilean Intertidal Las Cruces,Chile,-7243.1521987435735,Intertidal study sites in Chile: Las Cruces (ECIM),"{""type"":""Polygon"",""coordinates"":[[[-71.64434541200755,-33.44984645207294],[-71.65940803018641,-33.451636315094326],[-71.67327340863338,-33.45686364254971],[-71.68483906470514,-33.46511290783811],[-71.69318465593149,-33.47572821828639],[-71.69764515000548,-33.48786529093115],[-71.69786398569424,-33.50055844040709],[-71.69382192397536,-33.51279731437886],[-71.68583914726482,-33.52360731012409],[-71.67455026249088,-33.53212727376561],[-71.66085404430885,-33.537678259807414],[-71.6458418374698,-33.53981781162834],[-71.63071033416982,-33.538375368159166],[-71.6166657792247,-33.53346591965237],[-71.60482739709177,-33.525480800697636],[-71.59613790230898,-33.515056370246306],[-71.59128834167409,-33.50302312499226],[-71.59066328704121,-33.49033936951595],[-71.59431067802583,-33.47801479250738],[-71.60193857249224,-33.467030076756124],[-71.6129388865939,-33.45825894749035],[-71.62643607880068,-33.45239882922968],[-71.64135681605019,-33.44991556677664],[-71.64434541200755,-33.44984645207294]]]}"
00000000000000000006,Chilean Intertidal Los Molles,Chile,-7437.699029126214,Intertidal study sites in Chile: Los Molles,"{""type"":""Polygon"",""coordinates"":[[[-71.5261836931923,-32.19179581276321],[-71.5410344760639,-32.19358571864318],[-71.55470477585182,-32.198813161318306],[-71.56610756554653,-32.2070625782757],[-71.57433544966395,-32.21767802955365],[-71.57873280906772,-32.2298151882557],[-71.57894819905663,-32.24250834214355],[-71.57496276490082,-32.25474713747202],[-71.56709227615286,-32.2655569960401],[-71.55596245136459,-32.27407680678999],[-71.54245939319394,-32.279627671977714],[-71.52765900278267,-32.281767172741596],[-71.51274100768084,-32.28032476396759],[-71.49889454996712,-32.27541542506586],[-71.48722300828423,-32.26743045637951],[-71.47865579375653,-32.25700616992317],[-71.47387425822613,-32.244973017437104],[-71.47325764664085,-32.23228927456733],[-71.47685333627109,-32.21996462610253],[-71.4843735977079,-32.20897977715381],[-71.4952189692727,-32.2002084945073],[-71.50852623778692,-32.19434825050918],[-71.5232371250348,-32.19186492915413],[-71.5261836931923,-32.19179581276321]]]}"
00000000000000000059,PP1I1,Canada,-14637.37203344121,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.50024663652603,48.53801258665086],[-68.5192266021297,48.53622025313949],[-68.53669199654857,48.530986285556324],[-68.5512499872032,48.52272828357012],[-68.5617411580867,48.512104867135605],[-68.56733198446152,48.49996284910609],[-68.56758068690337,48.48726945774804],[-68.56247137962957,48.47503512019136],[-68.55241411440238,48.46423302308707],[-68.53821119751,48.4557218556737],[-68.52099278454223,48.45017781929759],[-68.50212704604398,48.44804120277932],[-68.48311201399119,48.449481651643424],[-68.46545748373215,48.45438479776723],[-68.45056601687286,48.46236127242067],[-68.4396221506844,48.47277741332343],[-68.43349836764858,48.48480531027084],[-68.43268522806308,48.49748832800483],[-68.43725135500397,48.5098170087394],[-68.44683675626061,48.52080938953734],[-68.46068039383879,48.529589353022565],[-68.47768014708869,48.53545671704063],[-68.49648059109701,48.53794337468589],[-68.50024663652603,48.53801258665086]]]}"
0000000000000000005a,PP1I2,Canada,-14637.245453302341,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.50058106910504,48.53782084530555],[-68.51956096282491,48.5360285118047],[-68.53702629112159,48.530794544249815],[-68.55158422670624,48.52253654230078],[-68.56207535796182,48.51191312590073],[-68.56766616328855,48.4997711078922],[-68.56791486490336,48.48707771653515],[-68.5628055770482,48.47484337895912],[-68.55274834990438,48.46404128182123],[-68.53854548671035,48.45553011437048],[-68.52132713878567,48.44998607796485],[-68.50246147152326,48.4478494614341],[-68.48344651126739,48.44928991030668],[-68.46579204769127,48.45419305645727],[-68.45090063712173,48.462169531147445],[-68.4399568123579,48.47258567208545],[-68.43383305257002,48.48461356905564],[-68.43301991617254,48.497296586792814],[-68.43758602594676,48.50962526750998],[-68.447171391012,48.52061764827533],[-68.46101497623413,48.529397611722985],[-68.47801466513266,48.5352649757102],[-68.49681503794022,48.537751633341],[-68.50058106910504,48.53782084530555]]]}"
0000000000000000005b,PP1I3,Canada,-14636.800907830037,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.49610413164737,48.539265594046874],[-68.51508456702203,48.53747326046675],[-68.53255039355881,48.53223929269885],[-68.54710874410362,48.52398129046966],[-68.55760017396128,48.51335787380991],[-68.56319113788828,48.501215855643196],[-68.56343984573503,48.48852246427878],[-68.55833041155763,48.47628812684841],[-68.54827289745008,48.46548602996369],[-68.53406962963143,48.45697486279464],[-68.51685079159769,48.45143082661146],[-68.49798458756302,48.44929421017465],[-68.47896908630713,48.4507346589834],[-68.46131412026575,48.455637804932266],[-68.44642228554484,48.463614279345634],[-68.43547814864053,48.47403042001801],[-68.42935421367619,48.48605831681655],[-68.42854105325644,48.4987413345297],[-68.4331072923838,48.511070015378046],[-68.44269293015658,48.52206239638895],[-68.45653690988897,48.53084236011981],[-68.47353708368442,48.53670972433946],[-68.49233799299975,48.53919638207919],[-68.49610413164737,48.539265594046874]]]}"
0000000000000000005c,PP1I4,Canada,-14636.415176290242,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.49969816709645,48.538792929335216],[-68.51867842525834,48.537000595781016],[-68.5361440887863,48.53176662808281],[-68.55070230356893,48.523508625945276],[-68.56119363573316,48.5128852093705],[-68.56678454777105,48.50074319125554],[-68.56703325357888,48.48804979989352],[-68.56192386727363,48.475815462415504],[-68.55186644705178,48.46501336544795],[-68.53766331161384,48.45650219818674],[-68.5204446339287,48.450958161930785],[-68.50157860550941,48.44882154546324],[-68.48256328125207,48.45026199429288],[-68.46490847960185,48.45516514030774],[-68.45001678365021,48.46314161481166],[-68.43907274886865,48.47355775557095],[-68.43294887121667,48.485585652425655],[-68.43213571865627,48.49826867014665],[-68.43670191546327,48.510597350952075],[-68.44628746401453,48.52158973188265],[-68.46013131467531,48.530369695520854],[-68.4771313298274,48.53623705966446],[-68.4959320636139,48.53872371736855],[-68.49969816709645,48.538792929335216]]]}"
0000000000000000005d,PP2I1,Canada,-14634.571712268313,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.49553782581359,48.54194997288106],[-68.51451926771036,48.54015763915363],[-68.53198602009448,48.534923670989905],[-68.54654514173296,48.526665668240156],[-68.55703712646344,48.516042251097815],[-68.56262838510703,48.50390023263716],[-68.56287710453414,48.49120684125908],[-68.55776739845548,48.47897250409939],[-68.5477093511018,48.468170407685086],[-68.5335053313954,48.459659241039475],[-68.51628558262378,48.454115205269645],[-68.49741838114001,48.45197858900739],[-68.4784018745789,48.453419037697536],[-68.4607459748389,48.45832218327157],[-68.44585335194499,48.4662986571706],[-68.43490863501017,48.47671479734936],[-68.4287843745267,48.48874269382896],[-68.42797116946787,48.50142571149746],[-68.4325376489637,48.513754392589554],[-68.44212379349125,48.5247467740567],[-68.4559685063165,48.53352673831387],[-68.47296958116456,48.53939410296541],[-68.49177148743757,48.541880760907574],[-68.49553782581359,48.54194997288106]]]}"
